一目了然	一目瞭然
一哄而散	一鬨而散
下面	下麵
不锈钢	不銹鋼
不锈钢	不鏽鋼
并入	並入
并发	並發
干饭	乾飯
亚洲杯	亞洲杯
亚洲杯	亞洲盃
交汇	交匯
交汇	交彙
付之一叹	付之一嘆
付之一叹	付之一歎
仙台	仙臺
布伍	佈伍
布道	佈道
并入	併入
并发	併發
偷闲	偷閑
偷闲	偷閒
雇佣	僱傭
尽可能	儘可能
尽快	儘快
尽数	儘數
尽量	儘量
元勋	元勛
元勋	元勳
凶恶	兇惡
凶残	兇殘
冷面	冷麵
凶恶	凶惡
凶残	凶殘
分布图	分佈圖
分布图	分布圖
加注	加註
北京周报	北京周報
北京周报	北京週報
汇报	匯報
汇注	匯注
汇集	匯集
卷层云	卷層雲
卷须	卷鬚
可采性	可採性
台东县	台東縣
台西乡	台西鄉
台谍	台諜
周报	周報
周游	周遊
咬啮	咬嚙
咬啮	咬齧
哪里	哪裏
哪里	哪裡
启蒙	啟矇
启蒙	啟蒙
当啷	噹啷
当当	噹噹
天台	天臺
安闲	安閑
安闲	安閒
岩层	岩層
岩层	巖層
常态分布	常態分佈
常态分布	常態分布
干饭	幹飯
广播电台	廣播電台
广播电台	廣播電臺
汇报	彙報
汇注	彙注
汇集	彙集
仿佛	彷彿
后座	後座
复合	復合
复姓	復姓
复苏	復甦
复苏	復蘇
复读	復讀
悠闲	悠閑
悠闲	悠閒
悲叹	悲嘆
悲叹	悲歎
凄凉	悽涼
凄迷	悽迷
戚戚	慼慼
折转	折轉
舍下	捨下
卷层云	捲層雲
卷舌元音	捲舌元音
卷须	捲鬚
折光	摺光
折转	摺轉
拟制	擬制
拟制	擬製
数周	數周
数周	數週
新闻周刊	新聞周刊
新闻周刊	新聞週刊
明了	明瞭
历年	曆年
历数	曆數
书札	書劄
书札	書札
服务台	服務台
服务台	服務臺
杆子	桿子
机制	機制
机制	機製
台子	檯子
历年	歷年
历数	歷數
冲压	沖壓
冲昏头脑	沖昏頭腦
冲决	沖決
泄泻	泄瀉
法制	法製
泄泻	洩瀉
流布	流佈
凄凉	淒涼
凄迷	淒迷
激荡	激盪
激荡	激蕩
火炮	火砲
炮击	炮擊
炮舰	炮艦
焚毁	焚毀
焚毁	焚燬
当啷	當啷
当当	當當
发布会	發佈會
发包	發包
发卡	發卡
发布会	發布會
尽可能	盡可能
尽快	盡快
尽数	盡數
尽量	盡量
荡漾	盪漾
了然	瞭然
了若指掌	瞭若指掌
了解	瞭解
炮击	砲擊
炮舰	砲艦
朱砂	硃砂
空空荡荡	空空盪盪
空空荡荡	空空蕩蕩
红霉素	紅霉素
红霉素	紅黴素
素面	素麵
编制	編制
编制	編製
纤手	縴手
纤手	纖手
腌货	腌貨
胶卷	膠卷
胶卷	膠捲
自制	自製
台北	臺北
台北市	臺北市
台子	臺子
台东县	臺東縣
台西	臺西
台西乡	臺西鄉
台谍	臺諜
台风	臺風
芝焚蕙叹	芝焚蕙嘆
芝焚蕙叹	芝焚蕙歎
荡漾	蕩漾
冲压	衝壓
冲昏头脑	衝昏頭腦
冲决	衝決
表带	表帶
表盘	表盤
裤子	袴子
复合	複合
复姓	複姓
复读	複讀
裤子	褲子
调制	調制
调制	調製
赞不绝口	讚不絕口
赞不绝口	贊不絕口
超级杯	超級杯
超级杯	超級盃
周报	週報
周游	週游
周游	週遊
游走	遊走
那里	那裏
那里	那裡
腌货	醃貨
表带	錶帶
表盘	錶盤
旋子	鏇子
开国元勋	開國元勛
开国元勋	開國元勳
开发周期	開發周期
开发周期	開發週期
闲暇	閑暇
闲暇	閒暇
雇佣	雇傭
电杆	電杆
电杆	電桿
电线杆	電線杆
电线杆	電線桿
震荡	震盪
震荡	震蕩
雾台乡	霧台鄉
雾台乡	霧臺鄉
韵致	韻緻
韵致	韻致
台风	颱風
马后炮	馬後炮
马后炮	馬後砲
发包	髮包
发卡	髮卡
斗牛	鬥牛
面子	麵子
面板	麵板
面皮	麵皮
面肥	麵肥
默叹	默嘆
默叹	默歎
