丑	丑
并	並
干	乾
了	了
于	于
云	云
仆	仆
价	价
余	余
你	你
佣	佣
佩	佩
并	併
局	侷
系	係
佣	傭
仆	僕
价	價
尽	儘
克	克
冬	冬
凄	凄
准	准
几	几
划	划
别	別
刮	刮
剃	剃
克	剋
划	劃
汇	匯
匾	匾
卷	卷
恤	卹
厂	厂
只	只
台	台
叶	叶
吁	吁
后	后
听	听
咸	咸
咽	咽
哄	哄
哺	哺
喂	喂
当	噹
啮	嚙
咽	嚥
回	回
困	困
团	團
圣	圣
坝	垻
涂	塗
坛	壇
坝	壩
你	妳
姜	姜
袅	嫋
袅	嬝
它	它
局	局
岳	岳
岳	嶽
干	干
并	并
干	幹
几	幾
广	广
厂	廠
广	廣
别	彆
弥	彌
录	彔
汇	彙
征	征
后	後
御	御
复	復
征	徵
志	志
恤	恤
悫	愨
栗	慄
悫	慤
蒙	懞
扎	扎
扣	扣
舍	捨
卷	捲
摆	擺
斗	斗
斫	斫
斫	斲
于	於
历	曆
曲	曲
朘	朘
朱	朱
朴	朴
杆	杆
杠	杠
松	松
板	板
柜	柜
栗	栗
杆	桿
匾	楄
杠	槓
朴	樸
台	檯
柜	櫃
历	歷
毁	毀
沈	沈
冲	沖
涂	涂
涌	涌
莅	涖
淀	淀
凄	淒
游	游
涌	湧
准	準
卤	滷
漓	漓
淀	澱
蒙	濛
沈	瀋
弥	瀰
漓	灕
毁	燬
它	牠
获	獲
佩	珮
当	當
症	症
症	癥
发	發
尽	盡
眯	眯
困	睏
眯	瞇
了	瞭
蒙	矇
朱	硃
祢	祢
御	禦
祢	禰
离	离
只	秖
谷	穀
获	穫
筑	筑
范	範
筑	築
吁	籲
糊	糊
团	糰
系	系
扎	紮
累	累
致	緻
纤	縴
系	繫
累	纍
纤	纖
坛	罈
圣	聖
听	聽
肇	肇
肇	肈
胡	胡
朘	脧
腊	腊
腊	臘
脏	臟
致	致
台	臺
舍	舍
范	范
叶	葉
蒙	蒙
莅	蒞
蔂	蔂
蔑	蔑
姜	薑
剃	薙
蔂	虆
虱	虱
虱	蝨
蔑	衊
冲	衝
表	表
袅	裊
里	裡
复	複
摆	襬
志	誌
谷	谷
赍	賫
局	跼
踊	踊
踊	踴
回	迴
适	适
游	遊
适	適
郁	郁
丑	醜
里	里
扣	釦
录	錄
表	錶
钟	鍾
钟	鐘
板	闆
只	隻
雕	雕
离	離
云	雲
面	面
须	須
台	颱
刮	颳
哺	餔
余	餘
糊	餬
喂	餵
鲠	骾
脏	髒
发	髮
鬃	鬃
松	鬆
鬃	鬉
胡	鬍
须	鬚
斗	鬥
哄	鬨
郁	鬱
鲠	鯁
雕	鵰
卤	鹵
咸	鹹
曲	麴
面	麵
冬	鼕
赍	齎
啮	齧
