60	B格	B格	 /variant of 逼格[bi1 ge2]/
146	word	word	 /my (Internet slang variant of 我的[wo3 de5])/
209	㚻奸	㚻姦	 /variant of 雞姦|鸡奸[ji1 jian1]/
297	㺢㹢狓	㺢㹢狓	 /variant of 霍加狓[huo4 jia1 pi2]/
383	一下儿	一下兒	 /erhua variant of 一下[yi1 xia4]/
390	一并	一並	 /variant of 一併|一并[yi1 bing4]/
416	一个劲儿	一個勁兒	 /erhua variant of 一個勁|一个劲[yi1 ge4 jin4]/
436	一准	一准	 /variant of 一準|一准[yi1 zhun3]/
473	一口气儿	一口氣兒	 /erhua variant of 一口氣|一口气[yi1 kou3 qi4]/
474	一古脑儿	一古腦兒	 /variant of 一股腦兒|一股脑儿[yi1 gu3 nao3 r5]/
511	一块儿	一塊兒	 /erhua variant of 一塊|一块[yi1 kuai4]/
526	一大早儿	一大早兒	 /erhua variant of 一大早[yi1 da4 zao3]/
550	一字儿	一字兒	 /erhua variant of 一字[yi1 zi4]/
678	一暴十寒	一暴十寒	 /variant of 一曝十寒[yi1 pu4 - shi2 han2]/
712	一槌定音	一槌定音	 /variant of 一錘定音|一锤定音[yi1 chui2 ding4 yin1]/
811	一笔抹煞	一筆抹煞	 /variant of 一筆抹殺|一笔抹杀[yi1 bi3 mo3 sha1]/
851	一股脑儿	一股腦兒	 /erhua variant of 一股腦|一股脑[yi1 gu3 nao3]/
1024	一点儿	一點兒	 /erhua variant of 一點|一点[yi1 dian3]/
1061	丁客	丁客	 /variant of 丁克[ding1 ke4]/
1062	丁宁	丁寧	 /variant of 叮嚀|叮咛[ding1 ning2]/
1142	七湾八拐	七灣八拐	 /variant of 七彎八拐|七弯八拐[qi1 wan1 - ba1 guai3]/
1231	三个臭皮匠，胜过一个诸葛亮	三個臭皮匠，勝過一個諸葛亮	 /variant of 三個臭皮匠，賽過一個諸葛亮|三个臭皮匠，赛过一个诸葛亮[san1 ge4 chou4 pi2 jiang5 , sai4 guo4 yi1 ge4 Zhu1 ge3 Liang4]/
1462	三膲	三膲	 /variant of 三焦[san1 jiao1]/
1640	上同调	上同調	 /cohomology (invariant of a topological space in math.)/
1852	上边儿	上邊兒	 /erhua variant of 上邊|上边[shang4 bian5]/
1857	上钩儿	上鉤兒	 /erhua variant of 上鉤|上钩[shang4 gou1]/
1894	下三烂	下三爛	 /variant of 下三濫|下三滥[xia4 san1 lan4]/
1916	下功夫	下功夫	 /variant of 下工夫[xia4 gong1 fu5]/
2067	下边儿	下邊兒	 /erhua variant of 下邊|下边[xia4 bian5]/
2383	不大离儿	不大離兒	 /erhua variant of 不大離|不大离[bu4 da4 li2]/
2431	不对劲儿	不對勁兒	 /erhua variant of 不對勁|不对劲[bu4 dui4 jin4]/
2639	不法分子	不法份子	 /variant of 不法分子[bu4 fa3 fen4 zi3]/
2763	不管白猫黑猫，捉住老鼠就是好猫	不管白貓黑貓，捉住老鼠就是好貓	 /it doesn't matter whether a cat is white or black; as long as it catches mice it's a good cat (variant of a Sichuanese saying used in a speech by Deng Xiaoping 鄧小平|邓小平[Deng4 Xiao3 ping2] in 1962, usually associated with his economic reforms starting in 1978, in which pragmatism was favored over ideological purity)/
2863	不误	不誤	" /used in expressions of the form 照V不誤|照V不误[zhao4 xx5 bu4 wu4], in which V is a verb, 照[zhao4] means ""as before"", and the overall meaning is ""carry on (doing sth) regardless"" or ""continue (to do sth) in spite of changed circumstances"", e.g. 照買不誤|照买不误[zhao4 mai3 bu4 wu4], to keep on buying (a product) regardless (of price hikes)/"
2901	不起眼儿	不起眼兒	 /erhua variant of 不起眼[bu4 qi3 yan3]/
3120	丘吉尔	丘吉爾	 /variant of 邱吉爾|邱吉尔[Qiu1 ji2 er3]/
3709	中华	中華	" /Zhonghua, historical and cultural term for China, often used to denote Chinese civilization and identity (as in 中華文化|中华文化[Zhong1 hua2 wen2 hua4] ""Chinese culture"")/used in the official name of the Republic of China, 中華民國|中华民国[Zhong1 hua2 Min2 guo2]/"
3819	丰采	丰采	 /variant of 風采|风采[feng1 cai3]/
3848	串门儿	串門兒	 /erhua variant of 串門|串门[chuan4 men2]/
