21三体综合症	21三體綜合症
不孕症	不孕症
不治之症	不治之症
不育症	不育症
中国餐馆症候群	中國餐館症候群
乳糖不耐症	乳糖不耐症
亚伯氏症	亞伯氏症
亨丁顿舞蹈症	亨丁頓舞蹈症
亨廷顿舞蹈症	亨廷頓舞蹈症
人畜共患症	人畜共患症
低体温症	低體溫症
侏儒症	侏儒症
健忘症	健忘症
伤寒症	傷寒症
僵住症	僵住症
半乳糖血症	半乳糖血症
厌女症	厭女症
厌食症	厭食症
吉伯特氏症候群	吉伯特氏症候群
同性恋恐惧症	同性戀恐懼症
唐氏症	唐氏症
唐氏综合症	唐氏綜合症
单核细胞增多症	單核細胞增多症
嗜睡症	嗜睡症
图雷特氏综合症	圖雷特氏綜合症
城市依赖症	城市依賴症
多动症	多動症
多囊卵巢综合症	多囊卵巢綜合症
夜盲症	夜盲症
梦行症	夢行症
大肠激躁症	大腸激躁症
失写症	失寫症
失忆症	失憶症
失明症	失明症
失智症	失智症
失温症	失溫症
失语症	失語症
失读症	失讀症
妄想症	妄想症
妥瑞症	妥瑞症
婴儿猝死综合症	嬰兒猝死綜合症
子癫前症	子癲前症
孤独症	孤獨症
密集恐惧症	密集恐懼症
对症	對症
对症下药	對症下藥
小儿麻痹症	小兒麻痺症
尿毒症	尿毒症
崩症	崩症
巴金森氏症	巴金森氏症
帕金森氏症	帕金森氏症
幽闭恐惧症	幽閉恐懼症
强迫性储物症	強迫性儲物症
强迫症	強迫症
必死之症	必死之症
念珠菌症	念珠菌症
急症	急症
恐同症	恐同症
恐怖症	恐怖症
恐惧症	恐懼症
恐旷症	恐曠症
恐水症	恐水症
恐血症	恐血症
恐韩症	恐韓症
恐高症	恐高症
慢性疲劳症候群	慢性疲勞症候群
虑病症	慮病症
惧高症	懼高症
成骨不全症	成骨不全症
手足口症	手足口症
抽动症	抽動症
拖延症	拖延症
败血症	敗血症
易饥症	易飢症
晚期癌症	晚期癌症
晕血症	暈血症
暴食症	暴食症
书写不能症	書寫不能症
月盲症	月盲症
杜兴氏肌肉营养不良症	杜興氏肌肉營養不良症
染色体三倍体症	染色體三倍體症
死症	死症
氟骨症	氟骨症
河盲症	河盲症
油症	油症
注意力不足过动症	注意力不足過動症
注意力缺失症	注意力缺失症
注意力缺陷多动症	注意力缺陷多動症
注意力缺陷过动症	注意力缺陷過動症
减压症	減壓症
溶小体储积症	溶小體儲積症
渐冻人症	漸凍人症
渐冻症	漸凍症
潜水夫症	潛水夫症
炎症	炎症
无症状	無症狀
无精症	無精症
焦虑症	焦慮症
烟雾症	煙霧症
牙关紧闭症	牙關緊閉症
猝睡症	猝睡症
疑病症	疑病症
疑难杂症	疑難雜症
疲劳症	疲勞症
病毒血症	病毒血症
病症	病症
症候	症候
症候群	症候群
症状	症狀
症状性	症狀性
症象	症象
痴呆症	痴呆症
瘙痒症	瘙癢症
癌症	癌症
癔症	癔症
白化症	白化症
白斑症	白斑症
白蚀症	白蝕症
社交恐惧症	社交恐懼症
社交牛逼症	社交牛逼症
神经官能症	神經官能症
神经症	神經症
精神分裂症	精神分裂症
精神官能症	精神官能症
精神性厌食症	精神性厭食症
紫质症	紫質症
绝症	絕症
综合症	綜合症
缺乏症	缺乏症
缺氧症	缺氧症
羊瘙痒症	羊瘙癢症
美尼尔氏综合症	美尼爾氏綜合症
老年性痴呆症	老年性痴獃症
老年痴呆症	老年痴獃症
耳石症	耳石症
职业倦怠症	職業倦怠症
肌肉萎缩症	肌肉萎縮症
肥胖症	肥胖症
腕管综合症	腕管綜合症
腕隧道症候群	腕隧道症候群
腰椎间盘突出症	腰椎間盤突出症
胆石症	膽石症
脓毒症	膿毒症
臆想症	臆想症
脸盲症	臉盲症
自闭症	自閉症
花粉症	花粉症
苯丙酮尿症	苯丙酮尿症
苯酮尿症	苯酮尿症
蟠尾丝虫症	蟠尾絲蟲症
蚕豆症	蠶豆症
血栓症	血栓症
血液恐怖症	血液恐怖症
血色素沉积症	血色素沉積症
夸休可尔症	誇休可爾症
贫血症	貧血症
路怒症	路怒症
躁狂症	躁狂症
过胖暴食症	過胖暴食症
遗忘症	遺忘症
重症	重症
重症监护	重症監護
重症监护室	重症監護室
重症肌无力	重症肌無力
镰状红血球贫血症	鐮狀紅血球貧血症
镰状细胞血症	鐮狀細胞血症
阿尔茨海默氏症	阿爾茨海默氏症
阿尔茨海默症	阿爾茨海默症
阿茨海默症	阿茨海默症
阿兹海默症	阿茲海默症
险症	險症
顽症	頑症
飞蚊症	飛蚊症
骨痛热症	骨痛熱症
高山症	高山症
高脂血症	高脂血症
黑尿症	黑尿症
症结	癥結
95后	95後
三思而后行	三思而後行
不孝有三，无后为大	不孝有三，無後為大
不甘人后	不甘人後
不甘后人	不甘後人
不顾前后	不顧前後
之后	之後
九零后	九零後
事后	事後
事后聪明	事後聰明
事后诸葛亮	事後諸葛亮
今后	今後
以后	以後
先来后到	先來後到
先兵后礼	先兵後禮
先天下之忧而忧，后天下之乐而乐	先天下之憂而憂，後天下之樂而樂
先天不足，后天失调	先天不足，後天失調
先天与后天	先天與後天
先后	先後
先后顺序	先後順序
先斩后奏	先斬後奏
先有后婚	先有後婚
先礼后兵	先禮後兵
光前裕后	光前裕後
其后	其後
刀不磨要生锈，人不学要落后	刀不磨要生鏽，人不學要落後
前不巴村，后不巴店	前不巴村，後不巴店
前不着村，后不着店	前不著村，後不著店
前不见古人，后不见来者	前不見古人，後不見來者
前事不忘，后事之师	前事不忘，後事之師
前人栽树，后人乘凉	前人栽樹，後人乘涼
前仰后合	前仰後合
前俯后仰	前俯後仰
前倨后恭	前倨後恭
前凸后翘	前凸後翹
前因后果	前因後果
前后	前後
前后文	前後文
前怕狼后怕虎	前怕狼後怕虎
前无古人，后无来者	前無古人，後無來者
前胸贴后背	前胸貼後背
前赴后继	前赴後繼
前车之覆，后车之鉴	前車之覆，後車之鑒
前门打虎，后门打狼	前門打虎，後門打狼
前门拒虎，后门进狼	前門拒虎，後門進狼
创伤后应激障碍	創傷後應激障礙
午后	午後
博士后	博士後
博后	博後
吃后悔药	吃後悔藥
向后	向後
哥林多后书	哥林多後書
售后服务	售後服務
善后	善後
善后借款	善後借款
嗣后	嗣後
严重后果	嚴重後果
在后	在後
在此之后	在此之後
在此后	在此後
压死骆驼的最后一根稻草	壓死駱駝的最後一根稻草
大后天	大後天
大后年	大後年
大难不死，必有后福	大難不死，必有後福
失去后劲	失去後勁
好戏还在后头	好戲還在後頭
季后赛	季後賽
学然后知不足	學然後知不足
察哈尔右翼后旗	察哈爾右翼後旗
巴前算后	巴前算後
帖撒罗尼迦后书	帖撒羅尼迦後書
幕后	幕後
幕后操纵	幕後操縱
幕后花絮	幕後花絮
幕后黑手	幕後黑手
延后	延後
彼得后书	彼得後書
往后	往後
后世	後世
后事	後事
后人	後人
后付	後付
后代	後代
后任	後任
后来	後來
后来居上	後來居上
后来者居上	後來者居上
后信号灯	後信號燈
后备	後備
后备箱	後備箱
后备军	後備軍
后传	後傳
后儿	後兒
后加	後加
后劲	後勁
后勤	後勤
后勤学	後勤學
后半	後半
后半场	後半場
后半生	後半生
后周	後周
后味	後味
后唐	後唐
后嗣	後嗣
后坐	後坐
后坐力	後坐力
后尘	後塵
后壁	後壁
后天	後天
后天性	後天性
后娘	後娘
后妈	後媽
后学	後學
后宫	後宮
后年	後年
后庭	後庭
后厨	後廚
后影	後影
后心	後心
后怕	後怕
后悔	後悔
后悔不迭	後悔不迭
后悔莫及	後悔莫及
后患无穷	後患無窮
后感	後感
后感觉	後感覺
后手	後手
后排	後排
后掩蔽	後掩蔽
后援	後援
后援会	後援會
后摇	後搖
后摇滚	後搖滾
后撤	後撤
后效	後效
后文	後文
后方	後方
后日	後日
后晋	後晉
后会有期	後會有期
后会无期	後會無期
后期	後期
后果	後果
后果自负	後果自負
后梁	後梁
后梢	後梢
后殖民	後殖民
后段	後段
后母	後母
后母脸	後母臉
后海	後海
后凉	後涼
后汉	後漢
后汉书	後漢書
后照镜	後照鏡
后灯	後燈
后燕	後燕
后父	後父
后现代主义	後現代主義
后生	後生
后生动物	後生動物
后生可畏	後生可畏
后盾	後盾
后秦	後秦
后空翻	後空翻
后端	後端
后缀	後綴
后缘	後緣
后继乏人	後繼乏人
后继有人	後繼有人
后继无人	後繼無人
后续	後續
后置	後置
后置修饰语	後置修飾語
