㑇	㑳
㘎	㘚
𪨊	㞞
㤘	㥮
㧐	㩳
鿏	䥑
鳚	䲁
鳤	䲘
鹮	䴉
丢	丟
幺	么
乱	亂
亘	亙
亚	亞
伫	佇
来	來
仑	侖
侣	侶
俣	俁
𠇹	俓
伣	俔
侠	俠
伥	倀
俩	倆
仓	倉
个	個
们	們
伦	倫
伟	偉
侧	側
侦	偵
伪	偽
㐷	傌
杰	傑
伧	傖
伞	傘
备	備
偬	傯
传	傳
伛	傴
债	債
伤	傷
倾	傾
偻	僂
仅	僅
佥	僉
侨	僑
𫢸	僤
侥	僥
偾	僨
仪	儀
侬	儂
亿	億
侩	儈
俭	儉
傧	儐
俦	儔
侪	儕
偿	償
优	優
储	儲
俪	儷
㑩	儸
傩	儺
傥	儻
俨	儼
凶	兇
兑	兌
儿	兒
内	內
两	兩
册	冊
幂	冪
冻	凍
凛	凜
凯	凱
删	刪
刭	剄
则	則
刹	剎
刚	剛
剥	剝
剐	剮
创	創
铲	剷
剧	劇
刘	劉
刽	劊
刿	劌
剑	劍
剂	劑
劲	勁
动	動
务	務
勋	勛
胜	勝
劳	勞
势	勢
勚	勩
劢	勱
励	勵
劝	勸
匀	勻
匦	匭
匮	匱
区	區
协	協
却	卻
厍	厙
厌	厭
厉	厲
厣	厴
叁	參
参	參
丛	叢
吴	吳
呐	吶
吕	呂
呙	咼
员	員
呗	唄
吣	唚
𫪁	唻
问	問
哑	啞
启	啟
唡	啢
㖞	喎
唤	喚
丧	喪
乔	喬
单	單
哟	喲
呛	嗆
啬	嗇
唝	嗊
吗	嗎
呜	嗚
𠮶	嗰
哔	嗶
叹	嘆
啀	嘊
喽	嘍
啯	嘓
呕	嘔
啧	嘖
尝	嘗
唛	嘜
哗	嘩
唠	嘮
啸	嘯
叽	嘰
哓	嘵
呒	嘸
𠯠	噅
嘘	噓
㖊	噚
咝	噝
哒	噠
哝	噥
哕	噦
嗳	噯
哙	噲
喷	噴
吨	噸
咛	嚀
吓	嚇
哜	嚌
噜	嚕
呖	嚦
亸	嚲
喾	嚳
严	嚴
嘤	嚶
啭	囀
嗫	囁
嚣	囂
冁	囅
呓	囈
啰	囉
嘱	囑
囱	囪
国	國
围	圍
园	園
圆	圓
图	圖
执	執
坚	堅
垩	堊
埚	堝
尧	堯
报	報
场	場
块	塊
茔	塋
垲	塏
埘	塒
坞	塢
埙	塤
尘	塵
堑	塹
𪣻	塿
垫	墊
坠	墜
𫮃	墠
堕	墮
坟	墳
垦	墾
𡒄	壈
垱	壋
压	壓
垒	壘
圹	壙
垆	壚
坏	壞
垄	壟
坜	壢
塆	壪
壮	壯
壶	壺
壸	壼
寿	壽
够	夠
梦	夢
伙	夥
夹	夾
奂	奐
奥	奧
奁	奩
夺	奪
奋	奮
姹	奼
妆	妝
奸	姦
侄	姪
娱	娛
娄	婁
妇	婦
娅	婭
娲	媧
妫	媯
㛀	媰
媪	媼
妈	媽
妪	嫗
娴	嫻
婳	嫿
媭	嬃
娆	嬈
娇	嬌
嫱	嬙
嬷	嬤
嫔	嬪
婴	嬰
婶	嬸
娈	孌
孙	孫
学	學
𡥧	孻
孪	孿
㝉	宁
宫	宮
𪧘	寠
寝	寢
实	實
宁	寧
审	審
写	寫
宽	寬
宠	寵
宝	寶
将	將
专	專
寻	尋
对	對
导	導
届	屆
尸	屍
屉	屜
屡	屢
层	層
屦	屨
属	屬
冈	岡
岛	島
峡	峽
崃	崍
岗	崗
岽	崬
岚	嵐
𡶴	嵼
㟥	嵾
嵝	嶁
崭	嶄
嵚	嶔
崂	嶗
峤	嶠
峣	嶢
峄	嶧
峃	嶨
崄	嶮
岭	嶺
屿	嶼
𫶕	巆
岿	巋
峦	巒
巅	巔
𪩘	巘
巯	巰
卺	巹
帅	帥
师	師
带	帶
帧	幀
帏	幃
帼	幗
帻	幘
帜	幟
币	幣
帮	幫
帱	幬
库	庫
厕	廁
厢	廂
厩	廄
厦	廈
庼	廎
厨	廚
厮	廝
𫷷	廞
庙	廟
庑	廡
废	廢
廪	廩
庐	廬
厅	廳
弑	弒
弪	弳
张	張
强	強
𫸩	彄
弹	彈
𭚦	彍
弯	彎
彦	彥
径	徑
从	從
彻	徹
恒	恆
耻	恥
悦	悅
怅	悵
闷	悶
恶	惡
恼	惱
恽	惲
恻	惻
爱	愛
惬	愜
怆	愴
恺	愷
忾	愾
态	態
愠	慍
惨	慘
惭	慚
恸	慟
惯	慣
怄	慪
虑	慮
悭	慳
庆	慶
欲	慾
忧	憂
惫	憊
怜	憐
凭	憑
愦	憒
慭	憖
惮	憚
愤	憤
悯	憫
怃	憮
宪	憲
忆	憶
恳	懇
应	應
怿	懌
懔	懍
怼	懟
懑	懣
惩	懲
懒	懶
怀	懷
悬	懸
忏	懺
惧	懼
慑	懾
恋	戀
戆	戇
戋	戔
戗	戧
戬	戩
战	戰
戏	戲
户	戶
抛	拋
挟	挾
扪	捫
扫	掃
抡	掄
挜	掗
挣	掙
挂	掛
采	採
拣	揀
扬	揚
换	換
挥	揮
损	損
摇	搖
捣	搗
揾	搵
抢	搶
掴	摑
掼	摜
搂	摟
挚	摯
抠	摳
掺	摻
捞	撈
挦	撏
撑	撐
挠	撓
㧑	撝
掸	撣
拨	撥
抚	撫
扑	撲
揿	撳
挞	撻
挝	撾
捡	撿
拥	擁
掳	擄
择	擇
击	擊
挡	擋
㧟	擓
担	擔
据	據
挤	擠
𢬍	擫
拟	擬
摈	擯
拧	擰
搁	擱
掷	擲
扩	擴
撷	擷
擞	擻
撸	擼
㧰	擽
扰	擾
摅	攄
撵	攆
拢	攏
拦	攔
撄	攖
撺	攛
携	攜
摄	攝
攒	攢
挛	攣
摊	攤
搅	攪
揽	攬
败	敗
叙	敘
敳	敱
敌	敵
数	數
敛	斂
毙	斃
斩	斬
断	斷
时	時
晋	晉
𬀪	晛
昼	晝
晕	暈
𬀩	暐
旸	暘
畅	暢
暂	暫
昵	暱
晔	曄
昙	曇
晓	曉
暧	曖
旷	曠
晒	曬
书	書
会	會
东	東
拐	枴
栅	柵
栀	梔
枧	梘
𬂩	梜
条	條
枭	梟
弃	棄
枨	棖
枣	棗
栋	棟
栈	棧
栖	棲
桠	椏
杨	楊
枫	楓
桢	楨
业	業
极	極
杩	榪
荣	榮
桤	榿
构	構
枪	槍
梿	槤
椠	槧
椁	槨
椮	槮
桨	槳
桩	樁
乐	樂
枞	樅
楼	樓
标	標
枢	樞
样	樣
树	樹
桦	樺
椫	樿
桡	橈
桥	橋
机	機
椭	橢
横	橫
檩	檁
柽	檉
档	檔
桧	檜
槚	檟
检	檢
樯	檣
梼	檮
槛	檻
棹	櫂
橹	櫓
榈	櫚
栉	櫛
椟	櫝
栎	櫟
橱	櫥
槠	櫧
栌	櫨
枥	櫪
橥	櫫
榇	櫬
栊	櫳
榉	櫸
棂	櫺
樱	櫻
栏	欄
权	權
椤	欏
栾	欒
榄	欖
钦	欽
欧	歐
欤	歟
欢	歡
岁	歲
归	歸
殁	歿
残	殘
殒	殞
𣨼	殢
殇	殤
殚	殫
殓	殮
殡	殯
㱩	殰
歼	殲
杀	殺
壳	殼
殴	毆
毵	毿
牦	氂
毡	氈
气	氣
氢	氫
氩	氬
决	決
没	沒
况	況
泄	洩
汹	洶
浃	浹
泾	涇
凉	涼
泪	淚
渌	淥
净	淨
沦	淪
渊	淵
涞	淶
浅	淺
涣	渙
减	減
沨	渢
涡	渦
测	測
浑	渾
凑	湊
𣲗	湋
浈	湞
汤	湯
沩	溈
沟	溝
温	溫
浉	溮
涢	溳
沧	滄
灭	滅
涤	滌
沪	滬
滞	滯
渗	滲
浒	滸
浐	滻
滚	滾
满	滿
渔	漁
溇	漊
沤	漚
汉	漢
涟	漣
渍	漬
涨	漲
溆	漵
渐	漸
浆	漿
颍	潁
泼	潑
洁	潔
𣲘	潕
㴋	潚
潜	潛
润	潤
浔	潯
溃	潰
滗	潷
涠	潿
涩	澀
浇	澆
涝	澇
涧	澗
渑	澠
泽	澤
滪	澦
浍	澮
浊	濁
浓	濃
𣸣	濆
湿	濕
泞	濘
溁	濚
浕	濜
济	濟
涛	濤
滥	濫
潍	濰
滨	濱
溅	濺
泺	濼
滤	濾
滢	瀅
渎	瀆
泻	瀉
浏	瀏
濒	瀕
泸	瀘
沥	瀝
潇	瀟
潆	瀠
潴	瀦
泷	瀧
濑	瀨
潋	瀲
澜	瀾
沣	灃
滠	灄
洒	灑
滩	灘
灏	灝
湾	灣
滦	灤
滟	灩
灾	災
为	為
乌	烏
烃	烴
无	無
炼	煉
炜	煒
烟	煙
茕	煢
焕	煥
烦	煩
炀	煬
𤈶	熉
荧	熒
炝	熗
𬉼	熰
热	熱
颎	熲
炽	熾
𬊤	燀
烨	燁
灯	燈
炖	燉
烧	燒
𬊈	燖
烫	燙
焖	燜
营	營
灿	燦
烛	燭
烩	燴
㶶	燶
烬	燼
焘	燾
烁	爍
炉	爐
烂	爛
争	爭
爷	爺
尔	爾
丬	爿
墙	牆
牍	牘
牵	牽
荦	犖
犊	犢
牺	犧
状	狀
狭	狹
狈	狽
犹	猶
狱	獄
狮	獅
奖	獎
独	獨
狯	獪
猃	獫
狝	獮
狞	獰
猎	獵
犷	獷
兽	獸
獭	獺
献	獻
猡	玀
珏	玨
现	現
