症	[('症', 202), ('癥', 2)]
后	[('後', 363), ('后', 30)]
制	[('制', 228), ('製', 129)]
鉴	[('鑒', 25), ('鑑', 14)]
扣	[('扣', 67), ('釦', 8)]
台	[('台', 164), ('臺', 207), ('檯', 27), ('颱', 2)]
恤	[('恤', 17), ('卹', 3)]
丘	[('丘', 59), ('坵', 2)]
干	[('乾', 124), ('干', 54), ('幹', 83)]
净	[('淨', 45), ('凈', 3)]
了	[('了', 180), ('瞭', 7)]
升	[('升', 77), ('昇', 4), ('陞', 1)]
并	[('併', 22), ('並', 49), ('并', 1)]
卜	[('蔔', 22), ('卜', 33)]
叹	[('歎', 6), ('嘆', 36)]
价	[('價', 175), ('价', 1)]
复	[('復', 138), ('複', 69), ('覆', 7)]
获	[('穫', 4), ('獲', 57)]
向	[('向', 151), ('嚮', 6)]
千	[('千', 178), ('韆', 3)]
回	[('回', 275), ('迴', 23)]
同	[('同', 344), ('衕', 1)]
周	[('周', 137), ('週', 42)]
哄	[('哄', 23), ('鬨', 3)]
吊	[('吊', 69), ('弔', 16)]
团	[('團', 177), ('糰', 6)]
糊	[('糊', 60), ('餬', 1)]
涂	[('塗', 50), ('涂', 5)]
夫	[('夫', 272), ('伕', 1)]
当	[('當', 263), ('噹', 16)]
万	[('萬', 252), ('万', 2)]
家	[('家', 713), ('傢', 1)]
说	[('說', 282), ('説', 1)]
斗	[('鬥', 90), ('斗', 84), ('鬭', 1)]
于	[('於', 182), ('于', 14)]
愿	[('願', 67), ('愿', 1)]
折	[('折', 105), ('摺', 15)]
面	[('面', 454), ('麵', 132)]
秋	[('秋', 120), ('鞦', 3)]
里	[('里', 404), ('裡', 120), ('裏', 5)]
杯	[('杯', 58), ('盃', 3)]
板	[('板', 252), ('闆', 5)]
杆	[('桿', 77), ('杆', 17)]
胡	[('胡', 127), ('鬍', 19), ('衚', 1)]
准	[('準', 99), ('准', 21)]
烟	[('煙', 150), ('菸', 8)]
炮	[('炮', 71), ('砲', 24)]
荡	[('蕩', 53), ('盪', 13)]
拐	[('拐', 33), ('枴', 1)]
发	[('發', 487), ('髮', 109)]
秘	[('秘', 35), ('祕', 12)]
雕	[('鵰', 25), ('雕', 36)]
系	[('系', 146), ('係', 56), ('繫', 19)]
尽	[('盡', 127), ('儘', 9)]
致	[('致', 95), ('緻', 11)]
效	[('效', 96), ('傚', 3)]
举	[('舉', 119), ('擧', 1)]
叶	[('葉', 185), ('叶', 2)]
钟	[('鍾', 20), ('鐘', 67)]
余	[('餘', 125), ('余', 5)]
众	[('眾', 118), ('衆', 3)]
表	[('表', 228), ('錶', 21)]
几	[('幾', 112), ('几', 6)]
赞	[('贊', 31), ('讚', 15)]
欲	[('欲', 54), ('慾', 28)]
丑	[('丑', 17), ('醜', 34)]
克	[('克', 633), ('剋', 3)]
冬	[('冬', 70), ('鼕', 2)]
梁	[('梁', 84), ('樑', 2)]
辟	[('辟', 10), ('闢', 13)]
肇	[('肇', 21), ('肈', 3)]
娘	[('娘', 69), ('孃', 3)]
离	[('離', 168), ('离', 2)]
志	[('志', 109), ('誌', 24)]
注	[('注', 71), ('註', 30)]
宝	[('寶', 177), ('寳', 1)]
坝	[('壩', 27), ('垻', 2)]
局	[('局', 167), ('侷', 2), ('跼', 1)]
曲	[('曲', 196), ('麴', 4)]
游	[('遊', 162), ('游', 50)]
舍	[('舍', 52), ('捨', 35)]
幸	[('幸', 40), ('倖', 5)]
棱	[('稜', 22), ('棱', 7)]
云	[('雲', 209), ('云', 12)]
苏	[('蘇', 148), ('囌', 3), ('甦', 3)]
只	[('隻', 22), ('只', 34), ('秖', 1)]
铺	[('鋪', 60), ('舖', 1)]
唇	[('唇', 42), ('脣', 1)]
夸	[('夸', 9), ('誇', 21)]
筑	[('築', 18), ('筑', 3)]
栗	[('栗', 54), ('慄', 11)]
广	[('廣', 191), ('广', 1)]
搜	[('搜', 32), ('蒐', 4)]
疏	[('疏', 65), ('疎', 1)]
钩	[('鉤', 54), ('鈎', 2)]
划	[('劃', 74), ('划', 12)]
摆	[('擺', 64), ('襬', 2)]
旋	[('旋', 101), ('鏇', 4)]
沉	[('沉', 93), ('沈', 1)]
驳	[('駁', 30), ('駮', 1)]
别	[('別', 173), ('彆', 4)]
挽	[('挽', 16), ('輓', 2)]
术	[('術', 187), ('朮', 2)]
么	[('麼', 49), ('麽', 1)]
才	[('才', 103), ('纔', 1)]
墙	[('牆', 60), ('墻', 1)]
愈	[('癒', 9), ('愈', 14)]
困	[('困', 43), ('睏', 5)]
佛	[('佛', 138), ('彿', 3)]
听	[('聽', 141), ('听', 1)]
适	[('適', 58), ('适', 2)]
迹	[('跡', 66), ('迹', 3), ('蹟', 2)]
范	[('範', 42), ('范', 17)]
须	[('鬚', 31), ('須', 17)]
锈	[('銹', 1), ('鏽', 19)]
录	[('錄', 108), ('彔', 1)]
坛	[('壇', 33), ('罈', 5)]
松	[('松', 119), ('鬆', 49)]
坐	[('坐', 108), ('座', 10)]
布	[('布', 369), ('佈', 28)]
卷	[('卷', 75), ('捲', 41)]
托	[('托', 164), ('託', 18)]
朱	[('朱', 80), ('硃', 3)]
汇	[('匯', 68), ('彙', 15)]
岭	[('嶺', 58), ('岭', 2)]
纤	[('纖', 66), ('縴', 5)]
岳	[('嶽', 19), ('岳', 27)]
征	[('徵', 66), ('征', 58)]
灶	[('灶', 28), ('竈', 4)]
签	[('簽', 37), ('籤', 17)]
柜	[('櫃', 46), ('柜', 1)]
丰	[('丰', 1), ('豐', 101)]
圣	[('聖', 196), ('圣', 1)]
仆	[('僕', 18), ('仆', 3)]
扎	[('扎', 55), ('紮', 16)]
哺	[('哺', 15), ('餔', 1)]
